Rank,Institution Name,State,Average Debt Per Borrower
1,Removed due to discrepancy in reporting,,
2,Bryant University,RI,"$54,067 "
3,Removed due to discrepancy in reporting,,
4,Removed due to discrepancy in reporting,,
5,Removed due to discrepancy in reporting,,
6,Baylor University,TX,"$50,172 "
7,Removed due to discrepancy in reporting,,
8,Texas Christian University,TX,"$49,197 "
9,University of New Haven,CT,"$48,673 "
10,Quinnipiac University,CT,"$48,544 "
11,Removed due to discrepancy in reporting,,
12,Removed due to discrepancy in reporting,,
13,Removed due to discrepancy in reporting,,
14,Western New England University,MA,"$46,591 "
15,The Catholic University of America,DC,"$46,437 "
16,Endicott College,MA,"$46,269 "
17,University of the Sciences,PA,"$46,210 "
18,Rose-Hulman Institute of Technology,IN,"$45,345 "
19,DeSales University,PA,"$45,320 "
20,Washington & Jefferson College,PA,"$45,306 "
21,Neumann University,PA,"$45,011 "
22,Life University,GA,"$45,000 "
23,St. John's College,NM,"$44,989 "
24,Roger Williams University,RI,"$44,886 "
25,Gwynedd Mercy University,PA,"$44,763 "
26,Duquesne University,PA,"$44,228 "
27,University of Detroit Mercy,MI,"$44,180 "
28,Lebanon Valley College,PA,"$43,880 "
29,Springfield College,MA,"$43,502 "
30,Berklee College of Music,MA,"$43,444 "
31,"Penn State Erie, The Behrend College",PA,"$43,039 "
32,Boston University,MA,"$42,976 "
33,Sacred Heart University,CT,"$42,712 "
34,Nazareth College of Rochester,NY,"$42,412 "
35,Delaware Valley University,PA,"$42,245 "
36,The College of St. Scholastica,MN,"$42,183 "
37,Randolph College,VA,"$42,183 "
38,Ursinus College,PA,"$42,113 "
39,New Jersey Institute of Technology,NJ,"$42,099 "
40,Trinity University,TX,"$42,036 "
41,Penn State Altoona,PA,"$41,964 "
42,York College of Pennsylvania,PA,"$41,848 "
43,Indiana Tech,IN,"$41,844 "
44,Tulane University,LA,"$41,767 "
45,Ringling College of Art and Design,FL,"$41,746 "
46,Grove City College,PA,"$41,690 "
47,Franklin Pierce University,NH,"$41,661 "
48,Bay Path University,MA,"$41,594 "
49,Lasell College,MA,"$41,476 "
50,Wentworth Institute of Technology,MA,"$41,429 "
51,The University of Scranton,PA,"$41,395 "
52,College of Saint Benedict,MN,"$41,336 "
53,Cleveland Institute of Art,OH,"$41,326 "
54,Barry University,FL,"$41,293 "
55,Marywood University,PA,"$41,210 "
56,Rochester Institute of Technology,NY,"$41,202 "
57,Roanoke College,VA,"$41,187 "
58,Penn State York,PA,"$41,140 "
59,Southern New Hampshire University,NH,"$41,047 "
60,University of St. Thomas,MN,"$40,983 "
61,Kutztown University of Pennsylvania,PA,"$40,864 "
62,Elizabethtown College,PA,"$40,839 "
63,Lincoln University,PA,"$40,605 "
64,Stevens Institute of Technology,NJ,"$40,588 "
65,Eastern University,PA,"$40,488 "
66,Mount St. Mary's University,MD,"$40,355 "
67,Albion College,MI,"$40,347 "
68,University of New Hampshire,NH,"$40,293 "
69,Corban University,OR,"$40,239 "
70,Marietta College,OH,"$40,196 "
